name,map_label,x_px,y_px,map_x,map_y,grid,region,sector,category,coordinate_source,svg_occurrence,canon,hyperroutes,wookieepedia
"Xa Fel","Xa Fel","1993.379","1721.689","-92.698","33.046","K-9","Core Worlds","Sin sector registrado","planet","svg","svg-1599","canon","","https://starwars.fandom.com/wiki/Xa_Fel"
"Chazwa","Chazwa","2560.759","1562.839","199.857","106.001","M-8","Inner Rim","Orus","planet","svg","svg-0282","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Chazwa"
"Azure","Azure","3034.213","1488.757","448.837","172.768","P-8","Mid Rim","Truum","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Azure"
"Lwhekk","Lwhekk","607.722","3038.792","-815.269","-634.739","C-16","Unknown Regions","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Lwhekk"
"Xoman","Xoman","3519.916","1698.456","701.869","63.523","S-9","Mid Rim","Halla","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Xoman"
"Prakith","Prakith","2082.969","1946.459","-44.579","-88.82","K-10","Deep Core","Sin sector registrado","planet","svg","svg-1145","canon","Byss Run","https://starwars.fandom.com/wiki/Prakith"
"Keeara Major","Keeara Major","2158.573","1932.399","-7.337","-58.352","K-10","Deep Core","Sin sector registrado","planet","catalog","","legends","Byss Run","https://starwars.fandom.com/wiki/Keeara_Major"
"Symbia","Symbia","2153.106","1919.972","-10.185","-51.878","K-10","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Symbia"
"Kuar","Kuar","2169.013","1907.213","-1.898","-45.231","K-10","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Kuar"
"Odik","Odik","2026.719","1984.709","-76.85","-109.79","K-11","Deep Core","Sin sector registrado","planet","svg","svg-1035","legends","","https://starwars.fandom.com/wiki/Odik"
"Byss","Byss","2076.219","2121.959","-48.074","-182.068","K-11","Deep Core","Sin sector registrado","planet","svg","svg-0230","canon","Byss Run","https://starwars.fandom.com/wiki/Byss"
